data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887760/progress.txt[0m
Episode 290 	 EpRet 319.973 	 EpLen 726
Episode 291 	 EpRet 320.944 	 EpLen 714
Episode 292 	 EpRet 321.076 	 EpLen 713
Episode 293 	 EpRet 319.669 	 EpLen 716
Episode 294 	 EpRet 320.341 	 EpLen 720
Episode 295 	 EpRet 320.867 	 EpLen 716
Episode 296 	 EpRet 320.344 	 EpLen 719
Episode 297 	 EpRet 320.780 	 EpLen 716
Episode 298 	 EpRet 320.593 	 EpLen 723
Episode 299 	 EpRet 320.768 	 EpLen 714
Episode 300 	 EpRet 320.537 	 EpLen 713
Episode 301 	 EpRet 321.020 	 EpLen 715
Episode 302 	 EpRet 319.955 	 EpLen 718
Episode 303 	 EpRet 321.149 	 EpLen 712
Episode 304 	 EpRet 320.449 	 EpLen 714
Episode 305 	 EpRet 321.598 	 EpLen 707
Episode 306 	 EpRet 320.547 	 EpLen 721
Episode 307 	 EpRet 320.073 	 EpLen 716
Episode 308 	 EpRet 322.070 	 EpLen 716
Episode 309 	 EpRet 321.853 	 EpLen 711
Episode 310 	 EpRet 321.050 	 EpLen 713
Episode 311 	 EpRet 320.175 	 EpLen 721
Episode 312 	 EpRet 320.084 	 EpLen 723
Episode 313 	 EpRet 321.667 	 EpLen 708
Episode 314 	 EpRet 320.471 	 EpLen 722
Episode 315 	 EpRet 320.261 	 EpLen 715
Episode 316 	 EpRet 320.874 	 EpLen 723
Episode 317 	 EpRet 320.521 	 EpLen 719
Episode 318 	 EpRet 321.184 	 EpLen 708
Episode 319 	 EpRet 320.918 	 EpLen 713
Episode 320 	 EpRet 321.417 	 EpLen 712
Episode 321 	 EpRet 320.414 	 EpLen 717
Episode 322 	 EpRet 319.297 	 EpLen 718
Episode 323 	 EpRet 321.159 	 EpLen 712
Episode 324 	 EpRet 320.801 	 EpLen 717
Episode 325 	 EpRet 320.106 	 EpLen 718
Episode 326 	 EpRet 320.556 	 EpLen 712
Episode 327 	 EpRet 320.340 	 EpLen 719
Episode 328 	 EpRet 321.197 	 EpLen 714
Episode 329 	 EpRet 321.479 	 EpLen 712
Episode 330 	 EpRet 320.542 	 EpLen 715
Episode 331 	 EpRet 319.798 	 EpLen 720
Episode 332 	 EpRet 321.201 	 EpLen 713
Episode 333 	 EpRet 320.602 	 EpLen 720
Episode 334 	 EpRet 321.028 	 EpLen 709
Episode 335 	 EpRet 321.037 	 EpLen 714
Episode 336 	 EpRet 322.353 	 EpLen 703
Episode 337 	 EpRet 319.657 	 EpLen 715
Episode 338 	 EpRet 321.118 	 EpLen 714
Episode 339 	 EpRet 320.132 	 EpLen 718
Episode 340 	 EpRet 319.806 	 EpLen 722
Episode 341 	 EpRet 320.971 	 EpLen 714
Episode 342 	 EpRet 320.519 	 EpLen 713
Episode 343 	 EpRet 321.788 	 EpLen 707
Episode 344 	 EpRet 321.313 	 EpLen 714
Episode 345 	 EpRet 320.887 	 EpLen 712
Episode 346 	 EpRet 320.043 	 EpLen 719
Episode 347 	 EpRet 321.733 	 EpLen 714
Episode 348 	 EpRet 321.203 	 EpLen 719
Episode 349 	 EpRet 320.442 	 EpLen 718
Episode 350 	 EpRet 321.467 	 EpLen 715
Episode 351 	 EpRet 319.876 	 EpLen 719
Episode 352 	 EpRet 319.984 	 EpLen 712
Episode 353 	 EpRet 320.501 	 EpLen 716
Episode 354 	 EpRet 321.551 	 EpLen 714
Episode 355 	 EpRet 320.722 	 EpLen 712
Episode 356 	 EpRet 320.268 	 EpLen 718
Episode 357 	 EpRet 321.014 	 EpLen 719
Episode 358 	 EpRet 320.624 	 EpLen 715
Episode 359 	 EpRet 322.228 	 EpLen 713
Episode 360 	 EpRet 320.149 	 EpLen 715
Episode 361 	 EpRet 320.138 	 EpLen 717
Episode 362 	 EpRet 322.105 	 EpLen 712
Episode 363 	 EpRet 320.030 	 EpLen 719
Episode 364 	 EpRet 121.133 	 EpLen 519
Episode 365 	 EpRet 320.501 	 EpLen 711
Episode 366 	 EpRet 320.431 	 EpLen 719
Episode 367 	 EpRet 319.668 	 EpLen 725
Episode 368 	 EpRet 320.559 	 EpLen 717
Episode 369 	 EpRet 321.564 	 EpLen 719
Episode 370 	 EpRet 320.742 	 EpLen 712
Episode 371 	 EpRet 320.461 	 EpLen 716
Episode 372 	 EpRet 319.142 	 EpLen 719
Episode 373 	 EpRet 322.112 	 EpLen 717
Episode 374 	 EpRet 319.838 	 EpLen 719
Episode 375 	 EpRet 320.709 	 EpLen 716
Episode 376 	 EpRet 321.251 	 EpLen 712
Episode 377 	 EpRet 0.930 	 EpLen 279
Episode 378 	 EpRet 320.494 	 EpLen 718
Episode 379 	 EpRet 321.190 	 EpLen 719
Episode 380 	 EpRet 320.802 	 EpLen 716
Episode 381 	 EpRet 320.174 	 EpLen 716
Episode 382 	 EpRet 320.410 	 EpLen 715
Episode 383 	 EpRet 321.164 	 EpLen 712
Episode 384 	 EpRet 320.741 	 EpLen 716
Episode 385 	 EpRet 320.214 	 EpLen 713
Episode 386 	 EpRet 320.918 	 EpLen 711
Episode 387 	 EpRet 320.798 	 EpLen 715
Episode 388 	 EpRet 319.850 	 EpLen 714
Episode 389 	 EpRet 321.021 	 EpLen 708
Episode 390 	 EpRet 319.329 	 EpLen 715
Episode 391 	 EpRet 320.796 	 EpLen 716
Episode 392 	 EpRet 319.996 	 EpLen 716
Episode 393 	 EpRet 321.704 	 EpLen 712
Episode 394 	 EpRet 320.786 	 EpLen 711
Episode 395 	 EpRet 320.298 	 EpLen 718
Episode 396 	 EpRet 321.448 	 EpLen 722
Episode 397 	 EpRet 321.230 	 EpLen 709
Episode 398 	 EpRet 320.738 	 EpLen 714
Episode 399 	 EpRet 321.160 	 EpLen 713
Episode 400 	 EpRet 320.187 	 EpLen 710
Episode 401 	 EpRet 320.569 	 EpLen 717
Episode 402 	 EpRet 320.286 	 EpLen 712
Episode 403 	 EpRet 319.518 	 EpLen 718
Episode 404 	 EpRet 320.812 	 EpLen 710
Episode 405 	 EpRet 319.896 	 EpLen 711
Episode 406 	 EpRet 321.167 	 EpLen 712
Episode 407 	 EpRet 321.065 	 EpLen 721
Episode 408 	 EpRet 320.711 	 EpLen 713
Episode 409 	 EpRet 321.505 	 EpLen 716
Episode 410 	 EpRet 320.278 	 EpLen 710
Episode 411 	 EpRet 320.814 	 EpLen 719
Episode 412 	 EpRet 321.669 	 EpLen 709
Episode 413 	 EpRet 318.048 	 EpLen 724
Episode 414 	 EpRet 319.596 	 EpLen 713
Episode 415 	 EpRet 321.188 	 EpLen 718
Episode 416 	 EpRet 321.279 	 EpLen 714
Episode 417 	 EpRet 320.978 	 EpLen 717
Episode 418 	 EpRet 320.436 	 EpLen 717
Episode 419 	 EpRet 53.055 	 EpLen 383
Episode 420 	 EpRet 319.658 	 EpLen 722
Episode 421 	 EpRet 320.058 	 EpLen 719
Episode 422 	 EpRet 319.211 	 EpLen 717
Episode 423 	 EpRet 321.239 	 EpLen 711
Episode 424 	 EpRet 321.454 	 EpLen 712
Episode 425 	 EpRet 320.779 	 EpLen 713
Episode 426 	 EpRet 320.780 	 EpLen 714
Episode 427 	 EpRet 320.104 	 EpLen 721
Episode 428 	 EpRet 320.252 	 EpLen 718
Episode 429 	 EpRet 322.108 	 EpLen 711
Episode 430 	 EpRet 321.409 	 EpLen 714
Episode 431 	 EpRet 320.997 	 EpLen 719
Episode 432 	 EpRet 321.714 	 EpLen 709
Episode 433 	 EpRet 321.084 	 EpLen 714
Episode 434 	 EpRet 322.164 	 EpLen 712
Episode 435 	 EpRet 320.183 	 EpLen 719
Episode 436 	 EpRet 320.900 	 EpLen 714
Episode 437 	 EpRet 320.670 	 EpLen 716
Episode 438 	 EpRet 321.183 	 EpLen 715
Episode 439 	 EpRet 319.379 	 EpLen 721
Episode 440 	 EpRet 321.250 	 EpLen 712
Episode 441 	 EpRet 320.583 	 EpLen 725
Episode 442 	 EpRet 319.872 	 EpLen 721
Episode 443 	 EpRet 320.058 	 EpLen 721
Episode 444 	 EpRet 321.046 	 EpLen 717
Episode 445 	 EpRet 321.061 	 EpLen 722
