data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888096/progress.txt[0m
Episode 294 	 EpRet -70.978 	 EpLen 2000
Episode 295 	 EpRet -13.439 	 EpLen 2000
Episode 296 	 EpRet -44.462 	 EpLen 2000
Episode 297 	 EpRet -43.805 	 EpLen 2000
Episode 298 	 EpRet -62.349 	 EpLen 2000
Episode 299 	 EpRet 43.309 	 EpLen 2000
Episode 300 	 EpRet -62.193 	 EpLen 2000
Episode 301 	 EpRet -54.561 	 EpLen 2000
Episode 302 	 EpRet -41.256 	 EpLen 2000
Episode 303 	 EpRet 3.625 	 EpLen 2000
Episode 304 	 EpRet 130.167 	 EpLen 1627
Episode 305 	 EpRet -45.462 	 EpLen 2000
Episode 306 	 EpRet -17.526 	 EpLen 2000
Episode 307 	 EpRet 39.612 	 EpLen 2000
Episode 308 	 EpRet 65.879 	 EpLen 2000
Episode 309 	 EpRet -65.972 	 EpLen 2000
Episode 310 	 EpRet -39.788 	 EpLen 2000
Episode 311 	 EpRet -59.670 	 EpLen 2000
Episode 312 	 EpRet -16.100 	 EpLen 2000
Episode 313 	 EpRet -7.489 	 EpLen 2000
Episode 314 	 EpRet -72.482 	 EpLen 2000
Episode 315 	 EpRet -43.563 	 EpLen 2000
Episode 316 	 EpRet -102.585 	 EpLen 347
Episode 317 	 EpRet -26.593 	 EpLen 2000
Episode 318 	 EpRet -52.991 	 EpLen 2000
Episode 319 	 EpRet -49.575 	 EpLen 2000
Episode 320 	 EpRet -24.462 	 EpLen 2000
Episode 321 	 EpRet -29.163 	 EpLen 2000
Episode 322 	 EpRet 36.256 	 EpLen 2000
Episode 323 	 EpRet -2.037 	 EpLen 2000
Episode 324 	 EpRet -60.749 	 EpLen 366
Episode 325 	 EpRet -2.678 	 EpLen 2000
Episode 326 	 EpRet -41.873 	 EpLen 2000
Episode 327 	 EpRet 35.590 	 EpLen 2000
Episode 328 	 EpRet -0.819 	 EpLen 2000
Episode 329 	 EpRet 42.933 	 EpLen 2000
Episode 330 	 EpRet -141.753 	 EpLen 2000
Episode 331 	 EpRet -172.099 	 EpLen 2000
Episode 332 	 EpRet 48.565 	 EpLen 2000
Episode 333 	 EpRet -77.850 	 EpLen 2000
Episode 334 	 EpRet -76.576 	 EpLen 2000
Episode 335 	 EpRet -29.527 	 EpLen 2000
Episode 336 	 EpRet 6.996 	 EpLen 2000
Episode 337 	 EpRet -21.016 	 EpLen 2000
Episode 338 	 EpRet 46.520 	 EpLen 2000
Episode 339 	 EpRet -79.859 	 EpLen 2000
Episode 340 	 EpRet -102.368 	 EpLen 202
Episode 341 	 EpRet -38.224 	 EpLen 2000
Episode 342 	 EpRet -89.758 	 EpLen 2000
Episode 343 	 EpRet 50.101 	 EpLen 2000
Episode 344 	 EpRet -64.689 	 EpLen 2000
Episode 345 	 EpRet 1.223 	 EpLen 2000
Episode 346 	 EpRet -79.085 	 EpLen 2000
Episode 347 	 EpRet -55.877 	 EpLen 363
Episode 348 	 EpRet -71.660 	 EpLen 567
Episode 349 	 EpRet 121.763 	 EpLen 2000
Episode 350 	 EpRet 107.832 	 EpLen 2000
Episode 351 	 EpRet -38.357 	 EpLen 2000
Episode 352 	 EpRet 41.128 	 EpLen 2000
Episode 353 	 EpRet -52.562 	 EpLen 2000
Episode 354 	 EpRet -99.013 	 EpLen 312
Episode 355 	 EpRet 192.427 	 EpLen 2000
Episode 356 	 EpRet -58.379 	 EpLen 2000
Episode 357 	 EpRet -94.467 	 EpLen 302
Episode 358 	 EpRet -43.058 	 EpLen 2000
Episode 359 	 EpRet 117.411 	 EpLen 2000
Episode 360 	 EpRet -69.745 	 EpLen 2000
Episode 361 	 EpRet -5.601 	 EpLen 2000
Episode 362 	 EpRet -40.172 	 EpLen 2000
Episode 363 	 EpRet -30.790 	 EpLen 2000
Episode 364 	 EpRet 38.227 	 EpLen 2000
Episode 365 	 EpRet 82.834 	 EpLen 2000
Episode 366 	 EpRet -96.340 	 EpLen 2000
Episode 367 	 EpRet -99.805 	 EpLen 363
Episode 368 	 EpRet -30.169 	 EpLen 2000
Episode 369 	 EpRet 5.303 	 EpLen 2000
Episode 370 	 EpRet 83.341 	 EpLen 2000
Episode 371 	 EpRet 10.266 	 EpLen 2000
Episode 372 	 EpRet -100.018 	 EpLen 2000
Episode 373 	 EpRet -33.448 	 EpLen 485
Episode 374 	 EpRet -14.516 	 EpLen 2000
Episode 375 	 EpRet -50.546 	 EpLen 2000
Episode 376 	 EpRet -71.841 	 EpLen 2000
Episode 377 	 EpRet -86.603 	 EpLen 2000
Episode 378 	 EpRet 2.370 	 EpLen 2000
Episode 379 	 EpRet 126.629 	 EpLen 2000
Episode 380 	 EpRet -64.884 	 EpLen 2000
Episode 381 	 EpRet 33.213 	 EpLen 2000
Episode 382 	 EpRet -88.324 	 EpLen 309
Episode 383 	 EpRet -12.877 	 EpLen 2000
Episode 384 	 EpRet -76.018 	 EpLen 2000
Episode 385 	 EpRet -36.694 	 EpLen 2000
Episode 386 	 EpRet -67.473 	 EpLen 2000
Episode 387 	 EpRet -21.842 	 EpLen 2000
Episode 388 	 EpRet -68.825 	 EpLen 2000
Episode 389 	 EpRet 34.378 	 EpLen 2000
Episode 390 	 EpRet -65.674 	 EpLen 2000
Episode 391 	 EpRet 68.240 	 EpLen 1447
Episode 392 	 EpRet -20.166 	 EpLen 2000
Episode 393 	 EpRet 40.800 	 EpLen 2000
Episode 394 	 EpRet -78.568 	 EpLen 277
Episode 395 	 EpRet -8.035 	 EpLen 2000
Episode 396 	 EpRet -115.040 	 EpLen 2000
Episode 397 	 EpRet -34.380 	 EpLen 2000
Episode 398 	 EpRet -22.785 	 EpLen 2000
Episode 399 	 EpRet -15.170 	 EpLen 2000
Episode 400 	 EpRet 51.703 	 EpLen 2000
Episode 401 	 EpRet 71.764 	 EpLen 2000
Episode 402 	 EpRet -67.427 	 EpLen 2000
Episode 403 	 EpRet 122.269 	 EpLen 2000
Episode 404 	 EpRet -10.402 	 EpLen 2000
Episode 405 	 EpRet -51.634 	 EpLen 2000
Episode 406 	 EpRet 81.177 	 EpLen 1318
Episode 407 	 EpRet -9.657 	 EpLen 2000
Episode 408 	 EpRet 4.612 	 EpLen 2000
Episode 409 	 EpRet -17.111 	 EpLen 2000
Episode 410 	 EpRet -97.010 	 EpLen 270
Episode 411 	 EpRet 44.808 	 EpLen 2000
Episode 412 	 EpRet -104.766 	 EpLen 251
Episode 413 	 EpRet -37.295 	 EpLen 2000
Episode 414 	 EpRet -12.431 	 EpLen 2000
Episode 415 	 EpRet 7.852 	 EpLen 2000
Episode 416 	 EpRet -73.173 	 EpLen 2000
Episode 417 	 EpRet -93.860 	 EpLen 219
Episode 418 	 EpRet -64.163 	 EpLen 2000
Episode 419 	 EpRet -53.315 	 EpLen 246
Episode 420 	 EpRet -2.152 	 EpLen 494
Episode 421 	 EpRet 14.563 	 EpLen 2000
Episode 422 	 EpRet 4.190 	 EpLen 2000
Episode 423 	 EpRet 99.939 	 EpLen 2000
Episode 424 	 EpRet -42.859 	 EpLen 2000
Episode 425 	 EpRet -39.201 	 EpLen 2000
Episode 426 	 EpRet 7.161 	 EpLen 2000
Episode 427 	 EpRet 129.424 	 EpLen 2000
Episode 428 	 EpRet -20.064 	 EpLen 2000
Episode 429 	 EpRet 167.596 	 EpLen 2000
Episode 430 	 EpRet 3.400 	 EpLen 2000
Episode 431 	 EpRet -59.798 	 EpLen 2000
Episode 432 	 EpRet -80.516 	 EpLen 2000
Episode 433 	 EpRet -20.809 	 EpLen 2000
Episode 434 	 EpRet 77.209 	 EpLen 2000
Episode 435 	 EpRet 10.014 	 EpLen 661
Episode 436 	 EpRet -28.596 	 EpLen 2000
Episode 437 	 EpRet -4.801 	 EpLen 2000
Episode 438 	 EpRet -50.546 	 EpLen 2000
Episode 439 	 EpRet -57.836 	 EpLen 2000
Episode 440 	 EpRet 137.135 	 EpLen 2000
Episode 441 	 EpRet -50.344 	 EpLen 2000
Episode 442 	 EpRet 34.505 	 EpLen 2000
Episode 443 	 EpRet 177.498 	 EpLen 2000
Episode 444 	 EpRet -86.841 	 EpLen 2000
Episode 445 	 EpRet -27.597 	 EpLen 2000
Episode 446 	 EpRet -119.681 	 EpLen 2000
Episode 447 	 EpRet 2.432 	 EpLen 2000
Episode 448 	 EpRet -92.765 	 EpLen 2000
Episode 449 	 EpRet -21.919 	 EpLen 2000
Episode 450 	 EpRet -72.734 	 EpLen 2000
Episode 451 	 EpRet 42.046 	 EpLen 2000
Episode 452 	 EpRet 14.537 	 EpLen 2000
Episode 453 	 EpRet 114.126 	 EpLen 2000
Episode 454 	 EpRet -57.742 	 EpLen 2000
Episode 455 	 EpRet -93.049 	 EpLen 2000
Episode 456 	 EpRet -47.107 	 EpLen 2000
Episode 457 	 EpRet 50.485 	 EpLen 2000
Episode 458 	 EpRet -16.629 	 EpLen 2000
Episode 459 	 EpRet -16.018 	 EpLen 2000
Episode 460 	 EpRet -53.695 	 EpLen 2000
Episode 461 	 EpRet 2.268 	 EpLen 2000
Episode 462 	 EpRet -24.655 	 EpLen 2000
Episode 463 	 EpRet 109.493 	 EpLen 2000
Episode 464 	 EpRet -34.448 	 EpLen 2000
Episode 465 	 EpRet -103.715 	 EpLen 2000
Episode 466 	 EpRet 4.827 	 EpLen 2000
Episode 467 	 EpRet -62.039 	 EpLen 2000
Episode 468 	 EpRet -73.389 	 EpLen 2000
Episode 469 	 EpRet -38.028 	 EpLen 2000
Episode 470 	 EpRet -40.457 	 EpLen 2000
Episode 471 	 EpRet -65.096 	 EpLen 2000
Episode 472 	 EpRet 143.956 	 EpLen 2000
Episode 473 	 EpRet -17.026 	 EpLen 2000
Episode 474 	 EpRet -54.031 	 EpLen 509
Episode 475 	 EpRet -41.244 	 EpLen 2000
Episode 476 	 EpRet -71.913 	 EpLen 2000
Episode 477 	 EpRet 12.783 	 EpLen 2000
Episode 478 	 EpRet -14.173 	 EpLen 895
Episode 479 	 EpRet 31.572 	 EpLen 835
Episode 480 	 EpRet -69.753 	 EpLen 2000
Episode 481 	 EpRet -80.511 	 EpLen 2000
Episode 482 	 EpRet -24.441 	 EpLen 2000
Episode 483 	 EpRet -76.288 	 EpLen 2000
Episode 484 	 EpRet 102.295 	 EpLen 2000
Episode 485 	 EpRet -73.708 	 EpLen 2000
Episode 486 	 EpRet 21.160 	 EpLen 2000
Episode 487 	 EpRet -52.273 	 EpLen 2000
Episode 488 	 EpRet -83.375 	 EpLen 129
Episode 489 	 EpRet 30.437 	 EpLen 2000
Episode 490 	 EpRet -12.632 	 EpLen 2000
Episode 491 	 EpRet -83.296 	 EpLen 2000
Episode 492 	 EpRet 31.021 	 EpLen 2000
Episode 493 	 EpRet -50.444 	 EpLen 2000
Episode 494 	 EpRet 91.007 	 EpLen 2000
Episode 495 	 EpRet 8.163 	 EpLen 2000
Episode 496 	 EpRet -6.221 	 EpLen 2000
Episode 497 	 EpRet 14.617 	 EpLen 956
Episode 498 	 EpRet 68.882 	 EpLen 2000
Episode 499 	 EpRet -37.724 	 EpLen 2000
-------------------------------------
|    AverageEpRet |           -18.9 |
|        StdEpRet |            67.3 |
|        MaxEpRet |             268 |
|        MinEpRet |            -172 |
|           EpLen |        1.82e+03 |
-------------------------------------
