data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888946/progress.txt[0m
Episode 329 	 EpRet 272.103 	 EpLen 1256
Episode 330 	 EpRet 269.068 	 EpLen 1317
Episode 331 	 EpRet 179.272 	 EpLen 1600
Episode 332 	 EpRet 278.060 	 EpLen 1221
Episode 333 	 EpRet 269.919 	 EpLen 1320
Episode 334 	 EpRet 275.974 	 EpLen 1268
Episode 335 	 EpRet 143.555 	 EpLen 1600
Episode 336 	 EpRet 264.198 	 EpLen 1341
Episode 337 	 EpRet 123.613 	 EpLen 1600
Episode 338 	 EpRet 276.834 	 EpLen 1206
Episode 339 	 EpRet 272.172 	 EpLen 1286
Episode 340 	 EpRet 273.513 	 EpLen 1301
Episode 341 	 EpRet 279.586 	 EpLen 1212
Episode 342 	 EpRet 274.957 	 EpLen 1270
Episode 343 	 EpRet 270.515 	 EpLen 1304
Episode 344 	 EpRet 265.520 	 EpLen 1356
Episode 345 	 EpRet 272.620 	 EpLen 1263
Episode 346 	 EpRet 49.695 	 EpLen 1600
Episode 347 	 EpRet 277.467 	 EpLen 1245
Episode 348 	 EpRet 275.286 	 EpLen 1243
Episode 349 	 EpRet 125.229 	 EpLen 1600
Episode 350 	 EpRet 266.560 	 EpLen 1369
Episode 351 	 EpRet 268.338 	 EpLen 1339
Episode 352 	 EpRet 269.107 	 EpLen 1310
Episode 353 	 EpRet 271.800 	 EpLen 1290
Episode 354 	 EpRet 272.192 	 EpLen 1287
Episode 355 	 EpRet 269.564 	 EpLen 1310
Episode 356 	 EpRet 274.481 	 EpLen 1271
Episode 357 	 EpRet 270.065 	 EpLen 1303
Episode 358 	 EpRet 274.366 	 EpLen 1247
Episode 359 	 EpRet 280.728 	 EpLen 1200
Episode 360 	 EpRet 268.148 	 EpLen 1317
Episode 361 	 EpRet 271.143 	 EpLen 1300
Episode 362 	 EpRet 272.483 	 EpLen 1290
Episode 363 	 EpRet 271.276 	 EpLen 1292
Episode 364 	 EpRet 262.984 	 EpLen 1369
Episode 365 	 EpRet 270.741 	 EpLen 1288
Episode 366 	 EpRet 272.009 	 EpLen 1283
Episode 367 	 EpRet 34.371 	 EpLen 1600
Episode 368 	 EpRet 275.096 	 EpLen 1257
Episode 369 	 EpRet 96.605 	 EpLen 1600
Episode 370 	 EpRet 59.945 	 EpLen 1600
Episode 371 	 EpRet 268.223 	 EpLen 1304
Episode 372 	 EpRet 273.261 	 EpLen 1263
Episode 373 	 EpRet 272.043 	 EpLen 1264
Episode 374 	 EpRet 264.488 	 EpLen 1358
Episode 375 	 EpRet 268.028 	 EpLen 1301
Episode 376 	 EpRet 266.939 	 EpLen 1312
Episode 377 	 EpRet 276.510 	 EpLen 1252
Episode 378 	 EpRet 273.456 	 EpLen 1245
Episode 379 	 EpRet 270.169 	 EpLen 1290
Episode 380 	 EpRet 264.324 	 EpLen 1371
Episode 381 	 EpRet 276.826 	 EpLen 1223
Episode 382 	 EpRet 275.388 	 EpLen 1261
Episode 383 	 EpRet 274.371 	 EpLen 1254
Episode 384 	 EpRet 264.290 	 EpLen 1355
Episode 385 	 EpRet 269.590 	 EpLen 1300
Episode 386 	 EpRet 277.078 	 EpLen 1245
Episode 387 	 EpRet 175.615 	 EpLen 1600
Episode 388 	 EpRet 274.832 	 EpLen 1266
Episode 389 	 EpRet 266.585 	 EpLen 1374
Episode 390 	 EpRet 139.265 	 EpLen 1600
Episode 391 	 EpRet 26.757 	 EpLen 1600
Episode 392 	 EpRet 271.486 	 EpLen 1271
Episode 393 	 EpRet 271.569 	 EpLen 1270
Episode 394 	 EpRet 268.121 	 EpLen 1342
Episode 395 	 EpRet 270.390 	 EpLen 1286
Episode 396 	 EpRet 276.719 	 EpLen 1258
Episode 397 	 EpRet 266.236 	 EpLen 1364
Episode 398 	 EpRet 277.251 	 EpLen 1212
Episode 399 	 EpRet 261.150 	 EpLen 1438
Episode 400 	 EpRet 261.604 	 EpLen 1384
Episode 401 	 EpRet 273.979 	 EpLen 1250
Episode 402 	 EpRet 270.197 	 EpLen 1288
Episode 403 	 EpRet 267.109 	 EpLen 1344
Episode 404 	 EpRet 278.239 	 EpLen 1208
Episode 405 	 EpRet 265.470 	 EpLen 1354
Episode 406 	 EpRet 214.959 	 EpLen 1600
Episode 407 	 EpRet 274.982 	 EpLen 1256
Episode 408 	 EpRet 269.571 	 EpLen 1292
Episode 409 	 EpRet 265.910 	 EpLen 1347
Episode 410 	 EpRet 274.282 	 EpLen 1260
Episode 411 	 EpRet 274.927 	 EpLen 1261
Episode 412 	 EpRet 271.462 	 EpLen 1260
Episode 413 	 EpRet 273.517 	 EpLen 1264
Episode 414 	 EpRet 267.846 	 EpLen 1311
Episode 415 	 EpRet 273.344 	 EpLen 1259
Episode 416 	 EpRet 267.450 	 EpLen 1321
Episode 417 	 EpRet 265.567 	 EpLen 1337
Episode 418 	 EpRet 272.381 	 EpLen 1285
Episode 419 	 EpRet 266.360 	 EpLen 1360
Episode 420 	 EpRet 276.326 	 EpLen 1237
Episode 421 	 EpRet 268.934 	 EpLen 1338
Episode 422 	 EpRet 268.734 	 EpLen 1311
Episode 423 	 EpRet 275.518 	 EpLen 1259
Episode 424 	 EpRet 273.640 	 EpLen 1269
Episode 425 	 EpRet 274.624 	 EpLen 1257
Episode 426 	 EpRet 273.283 	 EpLen 1267
Episode 427 	 EpRet 42.398 	 EpLen 1600
Episode 428 	 EpRet 272.332 	 EpLen 1292
